focus,real_coord,max_field
0.05,0.005,0.030470024614434967
0.07500000000000001,0.09,0.034316051785584084
0.1,0.105,0.04434141230618182
0.125,0.125,0.04704252679381068
0.15000000000000002,0.15,0.04511889198562678
0.175,0.17,0.0433915061984228
0.2,0.19,0.04073143464167053
0.22500000000000003,0.21,0.0361274880242049
0.25,0.215,0.03347654244425264
0.275,0.295,0.031670935510433824
0.3,0.3,0.031121325910689536
0.325,0.305,0.03037900137817358
0.35000000000000003,0.305,0.029379549349844315
0.375,0.005,0.029083249537070192
0.4,0.005,0.029083249598643557
0.425,0.005,0.02908358877640991
0.45,0.005,0.029083588776411602
0.47500000000000003,0.005,0.029083686292506263
0.5,0.005,0.029083686292985123
